restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber
0BvxoQf0-fAfhUudd-bXFw,Naf Naf Grill,"326 N Michigan Ave, Chicago, IL 60601 Neighborhood: b/t Wacker Pl & Macchesneyer Dr",415 reviews,4.5 star rating,"Middle Eastern,Falafel,Salad","326 N Michigan Ave, Chicago, IL 60601","Mon 10:30 am 10:00 pm
Tue 10:30 am 10:00 pm
Wed 10:30 am 10:00 pm
Thu 10:30 am 10:00 pm
Fri 10:30 am 10:00 pm
Sat 10:30 am 10:00 pm
Sun 10:30 am 10:00 pm
",Yes,Yes,Street,Casual,Yes,Under $10,No,No,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,NULL,nafnafgrill.com,(312) 263-0019
LdinBOfr0f0RFi5kJpbgyQ,Broken English Taco Pub - The Loop,"75 E. Lake St, Chicago, IL 60601 Neighborhood: b/t Dearborn St & Michigan Ave",389 reviews,3.5 star rating,"Mexican,Bars,Desserts","75 E. Lake St, Chicago, IL 60601","Mon 11:00 am 12:00 am
Tue 11:00 am 12:00 am
Wed 11:00 am 12:00 am
Thu 11:00 am 12:00 am
Fri 11:00 am 1:00 am
Sat 11:00 am 2:00 am
Sun 12:00 pm 10:00 pm
",No,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,NULL,Yes,NULL,"Lunch, Dinner",Full Bar,Loud,"Casual, Trendy",NULL,NULL,NULL,tacopub.com,(312) 929-3601
ENfiSGbuKEI0UUKPWPJqtQ,Pastoral,"53 E Lake St, Chicago, IL 60601 Neighborhood: b/t Wabash Ave & Dearborn St",599 reviews,4.0 star rating,"Cheese Shops,Delis,Sandwiches","53 E Lake St, Chicago, IL 60601","Mon 10:30 am 8:00 pm
Tue 10:30 am 8:00 pm
Wed 10:30 am 8:00 pm
Thu 10:30 am 8:00 pm
Fri 10:30 am 8:00 pm
Sat 11:00 am 6:00 pm
Sun 11:00 am 6:00 pm
",No,Yes,Street,Casual,No,$11-30,No,Yes,Yes,NULL,Yes,No,Lunch,Beer & Wine Only,Average,Casual,No,Yes,NULL,pastoralartisan.com,(312) 658-1250
hiJMiKoyP24G-0oILI8d3w,Tavern at the Park,"130 E Randolph St, Chicago, IL 60601 Neighborhood: b/t Stetson Ave & Beaubien Ct",663 reviews,3.5 star rating,"American (Traditional),Wine Bars,Beer Bar","130 E Randolph St, Chicago, IL 60601","Mon 11:00 am 10:00 pm
Tue 11:00 am 10:00 pm
Wed 11:00 am 10:00 pm
Thu 11:00 am 10:00 pm
Fri 11:00 am 10:30 pm
Sat 12:00 pm 10:30 pm
Sun 
",No,Yes,Valet,Casual,Yes,$11-30,Yes,No,Yes,NULL,Yes,Free,Dinner,Full Bar,Average,Classy,Yes,NULL,NULL,tavernatthepark.com,(312) 552-0070
MrWETKbSyG-FBq6ttK8SiQ,Eggy’s Diner,"333 E Benton Pl, Ste 103 Neighborhood: The Loop",414 reviews,4.0 star rating,"Breakfast & Brunch,American (Traditional),Diners","333 E Benton Pl, Ste 103","Mon 7:30 am 3:00 pm
Tue 7:30 am 3:00 pm
Wed 7:30 am 3:00 pm
Thu 7:30 am 3:00 pm
Fri 7:30 am 3:00 pm
Sat 7:30 am 3:00 pm
Sun 7:30 am 3:00 pm
",Yes,Yes,"Garage, Street",Casual,Yes,$11-30,No,Yes,Yes,NULL,No,Free,"Breakfast, Brunch, Lunch",No,Average,Casual,Yes,No,NULL,eggysdiner.com,(773) 234-3449
uM0bo8IaXddPZlIYfDSHhQ,Miss Ricky’s,", Neighborhood: b/t Haddock Pl & Lake St",301 reviews,3.5 star rating,"Diners,Comfort Food,American (Traditional)",",","Mon 7:00 am 2:30 pm
Tue 7:00 am 2:30 pm
Wed 7:00 am 2:30 pm
Thu 7:00 am 2:30 pm
Fri 7:00 am 2:30 pm
Sat 7:00 am 2:30 pm
Sun 7:00 am 2:30 pm
",Yes,Yes,Valet,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,Yes,Free,"Breakfast, Brunch, Lunch",Full Bar,Average,Casual,Yes,NULL,Yes,virginhotels.com,(312) 940-4777
VkIQgupDqCFZorV8Ro-89A,State and Lake Chicago Tavern,"theWit Hotel, 201 N State St Neighborhood: The Loop",438 reviews,3.5 star rating,"American (New),Desserts,Breakfast & Brunch","theWit Hotel, 201 N State St","Mon 6:30 am 11:00 pm
Tue 6:30 am 11:00 pm
Wed 6:30 am 11:00 pm
Thu 6:30 am 11:00 pm
Fri 6:30 am 2:00 am
Sat 7:00 am 2:00 am
Sun 7:00 am 10:00 pm
",No,Yes,"Valet, Street",Casual,Yes,$11-30,Yes,No,Yes,NULL,Yes,Free,Dinner,Full Bar,Average,Trendy,Yes,No,NULL,stateandlakechicago.com,(312) 239-9400
Bxd9Y2PsdvIOGIKFQh53RQ,Giordano’s,"130 E Randolph, Chicago, IL 60601 Neighborhood: b/t Stetson Ave & Beaubien Ct",1846 reviews,3.5 star rating,"Pizza,Salad,Italian","130 E Randolph, Chicago, IL 60601","Mon 11:00 am 11:00 pm
Tue 11:00 am 11:00 pm
Wed 11:00 am 11:00 pm
Thu 11:00 am 11:00 pm
Fri 11:00 am 12:00 am
Sat 11:00 am 12:00 am
Sun 11:00 am 11:00 pm
",Yes,Yes,Street,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,Yes,Free,"Lunch, Dinner",Full Bar,Average,Casual,Yes,Yes,Yes,giordanos.com,(312) 616-1200
M-F6KnDXBfzx926DAGy_aQ,Billy Goat Tavern Lake Street,"60 E Lake St, Chicago, IL 60601 Neighborhood: b/t Wabash Ave & Dearborn St",74 reviews,3.5 star rating,"Bars,American (Traditional),Breakfast & Brunch","60 E Lake St, Chicago, IL 60601","Mon 6:00 am 12:00 am
Tue 6:00 am 12:00 am
Wed 6:00 am 12:00 am
Thu 6:00 am 12:00 am
Fri 6:00 am 12:00 am
Sat 6:00 am 12:00 am
Sun 7:00 am 12:00 am
",Yes,Yes,NULL,Casual,Yes,Under $10,No,No,Yes,NULL,No,No,"Breakfast, Lunch, Dinner",Full Bar,Average,"Casual, Touristy",Yes,NULL,NULL,billygoattavern.com,(312) 346-5620
e8zF4XF0lKCMypVvfKpo8w,honeygrow,"70 E Lake St, Chicago, IL 60601 Neighborhood: b/t Wabash Ave & Dearborn St",20 reviews,3.5 star rating,"Salad,Noodles","70 E Lake St, Chicago, IL 60601","Mon 10:30 am 9:00 pm
Tue 10:30 am 9:00 pm
Wed 10:30 am 9:00 pm
Thu 10:30 am 9:00 pm
Fri 10:30 am 9:00 pm
Sat 10:30 am 9:00 pm
Sun 10:30 am 8:00 pm
",Yes,Yes,Street,Casual,Yes,$11-30,No,Yes,Yes,NULL,No,Free,Dinner,No,Loud,Casual,No,NULL,Yes,honeygrow.com,(312) 624-8107
