reviewID,businessID,reviewerID,date,reviewContent,rating,usefulCount,coolCount,funnyCount
2yhTbBcapwROlp41-oBPhQ,0BvxoQf0-fAfhUudd-bXFw,G4eGKPPPFETIu6roml6-hA,6/2/2017,"Naf Naf Grill - it's basically a Middle Eastern version of Chipotle that I wish would expand to more states across the nation (ahem TEXAS). The three protein options are: chicken shwarma, beef shwarma, of falafel, and you choose from making a pita sandwich, couscous bowl, rice bowl, salad, or a hummus bowl. A lil tip - you get a LOT more from a bowl vs a pita sandwich, and bowls come WITH a pita. The price difference is only a dollar more for the bowl, so I would recommend you opt for that option if you are super hungry!",5.0 star rating,1,1,0
we5q1Jp2i0ISh8rsbyJdnQ,LdinBOfr0f0RFi5kJpbgyQ,Izuxj-5CjJQyp9-qMWcOxg,2/23/2018,"Guacamole is wonderful, the corn nugget things are great, the carnitas were delicious, and the churro at the end was a nice touch.",5.0 star rating,0,0,0
nx_o1VBeiaY71NLckQ1rGg,ENfiSGbuKEI0UUKPWPJqtQ,srSvWRG3FN1Fad7JfXgn1Q,1/30/2016,"Cute little shop with a great selection of cheese, wines, and sandwiches. When visiting Chicago, I decided to try Pastoral out. From the breadth of choices, I decided to go with the Sinfully Healthy Sandwich.",4.0 star rating,9,9,9
5shqerr98Z-Qm7NArXdKWQ,hiJMiKoyP24G-0oILI8d3w,_UOXpmlVNnvM9bya7_ReQA,7/2/2017,"Went to the treehouse rooftop for drinks, got awesome seats at the lounge looking over the city. Weren't going to get food but the big guy in the black chef coat sold us and it was soooo worth it.",5.0 star rating,0,0,0
WYLOrGkJZgIgRKkuML-INQ,uM0bo8IaXddPZlIYfDSHhQ,9N2mUSpkt-JUKBEjyOsZkQ,7/2/2017,Had a horrible experience with this restaurant.,1.0 star rating,2,0,0
eJBjk0ioY7RutMNO5yN_7A,VkIQgupDqCFZorV8Ro-89A,yWm2TJeHs5Had4M8jU93gA,10/14/2017,"Beautiful restaurant, breakfast and mimosa were excellent. Lovely outdoor patio to sit and watch the train and boats go by. Connected to The Wit hotel.",5.0 star rating,0,0,0
lBke9yxPf2KhDTmdzPdQ4w,MrWETKbSyG-FBq6ttK8SiQ,HtNIZ7Pi37tpm-R9i37ACw,9/16/2016,I was visiting a friend in Chicago.   The spot he originally recommended was an hour wait and I was starving for breakfast.  I called EGGY's and they had no wait!   So my husband and took a short walk over to the restaurant and was seated right away.   We had a friendly and attentive server who kept the coffee and water flowing.   Our breakfast was delicious.  My husband had the Verb (he loved it) and my country Benedict was delicious!  It's a must if you enjoy biscuits and sausage gravy.,5.0 star rating,6,3,2
DOOHz4GTa__tmQVa1ODnOw,M-F6KnDXBfzx926DAGy_aQ,iGu4hSrV39yccmv9cdMfbA,6/9/2015,"Been to the one on Wells and I like this one better with a bar area and much better feel.  I know this sounds crazy but I also like the food here better.  The double cheezborger hits the spot.  It seemed small but actually filled me up.  The prices are very reasonable for a quick lunch.  If you want a good burger joint for a quick lunch, this is definitely the place to go.",4.0 star rating,1,1,0
tferax2KHa_TTDD7tr-3zA,R-IUS8o7S964FNHmmMOMmQ,ei7SsGUwDfhC0z7d9nYkHg,10/1/2017,Ate here before my flight to charlotte and my girlfriend literally fell over due to her chair having a rigged up chair leg. She could have broken her wrist or worse luckily she caught herself without hurting anything. This is a major safety hazard!!,2.0 star rating,0,0,0
R1nYWf2EvweH8MpulMDLnw,Bxd9Y2PsdvIOGIKFQh53RQ,XopP_70iyfC3iCPAY-sz4Q,8/23/2017,"Alright, if you're making a trip to Chicago, what are you to do? Apparently we must have a deep dish pizza.",2.0 star rating,0,0,0
