,business_name,address,inspection_date,years_alive
1,"V & J DAY CARE CENTER, INC",1 E 113TH ST ,09/22/2015,2
2,GOODWIN'S RESTAURANT,1 N FRANKLIN ST ,11/17/2014,3
3,GATEWAY NEWSTANDS,1 N FRANKLIN ST ,10/03/2014,0
4,ALONTI CAFE,1 N FRANKLIN ST ,01/03/2013,1
5,JAY LOBBY SHOP,1 N FRANKLIN ST ,04/26/2012,1
6,DOMINICK'S #1875,1 N HALSTED ST ,04/01/2014,0
7,AFC SUSHI @ DOMINICK'S # 1875,1 N HALSTED ST ,04/01/2014,0
8,THE LOBBY SHOP,1 N LA SALLE ST ,11/05/2012,0
9,SALVATION ARMY TEMPLE HEAD START,1 N OGDEN AVE ,10/04/2011,2
10,"SODEXHO AMERICA, LLC",1 N STATE ST FL ,01/31/2012,1
11,MUNCHIES,1 N WACKER DR ,08/14/2014,1
12,LA QUINTA INN & SUITES,1 S FRANKLIN ST ,08/29/2016,1
13,MID-CITY CARDS & GIFTS,1 S WACKER DR ,08/08/2013,3
14,TASTE AMERICA CATERING,1 S WACKER DR ,06/28/2010,3
15,YOGURTLAND,1 W DIVISION ST ,03/18/2016,1
16,Renaissance Cafe,1 W WACKER DR ,09/28/2015,0
17,HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST ,07/07/2016,0
18,HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,08/18/2011,0
19,HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,11/29/2010,1
20,TRUE FOOD KITCHEN,1-9 W ERIE ST ,10/04/2017,1
21,CITGO GAS STATION,10 N KILBOURN AVE ,10/24/2012,5
22,ONE STOP FOOD & TOBACCO INCORP,10 S CICERO AVE ,09/09/2011,1
23,PROTEIN BAR,10 S CLINTON ST ,05/08/2012,4
24,"GODIVA CHOCOLATIER, INC",10 S LA SALLE ST ,10/03/2014,1
25,CARIBOU COFFEE CO.INC.,10 S LA SALLE ST ,10/03/2014,0
26,RIVERSIDE LOBBY SHOP,10 S RIVERSIDE PLZ ,01/23/2014,1
27,CROWNE PLAZA CHICAGO - THE SILVERSMITH HOTEL,10-16 S WABASH AVE ,08/18/2010,1
28,LITTLE MARKET BRASSIERE,10-20 E DELAWARE ST ,05/05/2015,1
29,BRONZEVILLE CONVENIENCE,100 E 47TH ST ,09/27/2013,2
30,KAREEM MINI-MART,100 E 47TH ST ,10/22/2010,3
31,ARAMARK CORPORATION,100 N RIVERSIDE PLZ ,11/09/2015,0
32,ARAMARK CORPORATION,100 N RIVERSIDE PLZ ,11/04/2014,1
33,Eurest Dining Services @ Boeing,100 N RIVERSIDE PLZ ,01/04/2013,0
34,ARAMARK,100 N RIVERSIDE PLZ ,01/04/2013,0
35,"CEREALITY OPERATORS, INC.",100 S WACKER DR ,07/19/2013,2
36,URBAN KITCHEN,100 S WACKER DR ,04/26/2012,1
37,GRAND CHINESE KITCHEN,100 W 87TH ST ,07/23/2012,4
38,SUBWAY,100 W 87TH ST ,01/05/2012,0
39,TOKYO LUNCH BOXES & CATERING,100 W RANDOLPH ST ,01/06/2017,0
40,THE GREAT STATE FARE,100 W RANDOLPH ST ,10/04/2016,0
41,SUBWAY,100 W RANDOLPH ST ,04/23/2015,1
42,"DIZA HOSPITALITY GROUP, LLC ATRIUM TACO",100 W RANDOLPH ST ,04/08/2015,0
43,SUBWAY,100 W RANDOLPH ST ,03/06/2015,0
44,THE GREAT STATE FARE,100 W RANDOLPH ST ,07/23/2014,0
45,THE GREAT STATE FARE,100 W RANDOLPH ST ,07/21/2014,0
46,THE GREAT STATE FARE,100 W RANDOLPH ST ,11/14/2014,0
47,THE GREAT STATE FARE,100 W RANDOLPH ST ,08/14/2014,0
48,THE GREAT STATE FARE,100 W RANDOLPH ST ,08/14/2014,0
49,THE GREAT STATE FARE,100 W RANDOLPH ST ,06/06/2014,0
50,A & B CONVENIENCE,100 W RANDOLPH ST ,07/02/2014,0
51,SWEET FACTORY,100 W RANDOLPH ST ,09/30/2013,0
52,BONJOUR CAFE,100 W RANDOLPH ST ,12/24/2013,0
53,THE GREAT STATE FARE,100 W RANDOLPH ST ,10/08/2013,0
54,THE GREAT STATE FARE,100 W RANDOLPH ST ,10/03/2013,0
55,STEAK EXPRESS & FRIES,100 W RANDOLPH ST ,06/14/2012,0
56,THE GREAT STATE FARE,100 W RANDOLPH ST ,02/07/2012,0
57,SWEET FACTORY,100 W RANDOLPH ST ,10/03/2011,0
58,GENERAL NUTRITION CENTER,100 W RANDOLPH ST ,12/21/2010,0
59,DAIRY QUEEN ORANGE JULIUS,100 W RANDOLPH ST ,03/18/2010,0
60,WEST SIDE FOOD MARKET INC.,1000 N HAMLIN AVE ,10/21/2015,2
61,AUGUSTA FOOD PLUS,1000 N HAMLIN AVE ,02/14/2013,2
62,HAMLIN FOODS,1000 N HAMLIN AVE ,06/30/2011,2
63,"MONTICELLO FOOD MART, INC",1000 N MONTICELLO AVE ,01/05/2010,5
64,LUNA FOOD MART,1000 N MOZART ST ,04/29/2013,1
65,MOZART FOOD INC,1000 N MOZART ST ,07/25/2012,0
66,"AUGUSTA FINEST FOODS, INC.",1000 N MOZART ST ,07/19/2012,0
67,CHICAGO FOOD COURT,1000 W 35TH ST ,06/20/2011,1
68,NEW CITY DAYCARE INC.,1000 W 51ST ST ,10/07/2010,0
69,LANA'S RESTAURANT INC,1000 W 63RD ST ,12/07/2016,0
70,LANA'S RESTAURANT & GROCERY INC.,1000 W 63RD ST ,12/15/2015,1
71,HOT FIRE N COOL ICE STEAK & LEMONADE,1000 W 63RD ST ,01/29/2013,2
72,SUPERPHILLY STEAK & LEMONADE,1000 W 63RD ST ,08/12/2013,0
73,SALLIES LIQUORS,1000 W 79TH ST ,12/14/2012,5
74,FLAT TOP GRILL,1000 W WASHINGTON BLVD ,06/29/2015,1
75,CHI-TOWN,1000 W WASHINGTON BLVD ,09/24/2014,1
76,CALPHALON CULINARY CENTER,1000 W WASHINGTON BLVD ,01/10/2014,0
77,FLAT TOP GRILL,1000 W WASHINGTON BLVD ,09/20/2011,2
78,MUNCHY'Z,10000 S MICHIGAN AVE ,12/28/2017,1
79,MICHIGAN FOODS,10000 S MICHIGAN AVE ,03/26/2014,1
80,COMMUNITY FOODS,10000 S MICHIGAN AVE ,07/12/2013,1
81,LUCKY DOGZ,10001 - 01     1/2 S COMMERCIAL AVE ,11/05/2010,5
82,Canteen @ Olive-Harvey College,10001 S WOODLAWN AVE ,08/18/2015,0
83,"SUNNY EAST VILLAGE DAY CARE & PRESCHOOL, INC.",1001 N MILWAUKEE AVE ,09/19/2012,0
84,"SUNNY EAST VILLAGE DAY CARE & PRESCHOOL, INC",1001 N MILWAUKEE AVE ,07/10/2012,0
85,"SUNNY EAST VILLAGE DAY CARE & PRESCHOOL, INC.",1001 N MILWAUKEE AVE ,07/10/2012,0
86,"SUNNY EAST VILLAGE DAY CARE & PRESCHOOL, INC.",1001 N MILWAUKEE AVE ,07/10/2012,0
87,"MID-TOWN FOOD MARKET, INC.",1001 N PULASKI RD ,08/31/2015,2
88,NICK'S FOOD & LIQUOR LTD,1001 N PULASKI RD ,08/31/2015,0
89,FAT DADDY STORE,1001 N PULASKI RD ,08/16/2012,3
90,"S.B.L., INC.",1001 W 45TH ST ,11/04/2010,0
91,FADI #3 MINI MART & DELI,1001 W 59TH ST ,10/20/2014,2
92,J J PEPPERS,1001 W BELMONT AVE ,04/22/2010,4
93,OMAHA STEAKS,1001 W NORTH AVE ,05/15/2013,2
94,VILLAGE LEADERSHIP ACADEMY,1001 W ROOSEVELT RD ,03/21/2016,1
95,GILCHRIST MARCHMAN HEAD START,1001 W ROOSEVELT RD ,10/08/2013,0
96,WRONGS,10012-10014 S WESTERN AVE ,12/05/2013,2
97,L.C. QUICK BITES,10018 S WESTERN AVE ,11/19/2012,3
98,WESTSIDE GRILL,1002 N CICERO AVE ,09/16/2016,0
99,WEST SIDE GRILL & GROCERY,1002 N CICERO AVE ,11/15/2016,0
100,WESTSIDE GRILL,1002 N CICERO AVE ,05/12/2014,0
101,TALK UNIQUE INC.,1002 W 63RD ST ,12/30/2010,1
102,MASALA,1002 W ARGYLE ST ,05/16/2012,2
103,HING LUNG RESTAURANT,1002 W ARGYLE ST ,11/24/2010,2
104,"BEYOND THE IVY, INC",1006-1010 W WAVELAND AVE ,06/28/2011,3
105,WINDY FOOD MART INC.,1007 W 63RD ST ,09/04/2012,5
106,NORTH GARDEN,1007 W ARGYLE ST ,02/19/2014,0
107,XONG XONG EXPRESS,1007 W ARGYLE ST ,12/05/2012,1
108,NHA TRANG RESTAURANT,1007 W ARGYLE ST ,12/05/2012,0
109,CHINESE KITCHEN,1007 W ARGYLE ST ,07/16/2010,2
110,JA' GRILL,1008 W ARMITAGE AVE ,09/10/2014,0
111,JA' GRILL,1008 W ARMITAGE AVE ,09/10/2013,1
112,PAKEEZA,1009-1011 N ORLEANS ST ,02/03/2015,0
113,PS CHICAGO,1009-1011 N RUSH ST ,08/27/2012,0
114,JILLY'S SINGAPORE INN,1009-1011 N RUSH ST ,08/21/2012,0
115,CHURCH'S CHICKEN # 478,101 E 35TH ST ,01/28/2010,2
116,SHARKS FISH & CHICKEN,101 E 51ST ST ,01/12/2015,1
117,DRAFTFCB,101 E ERIE ST ,04/07/2014,0
118,ARAMARK at DRAFTFCB,101 E ERIE ST ,06/18/2013,1
119,PAZZO'S CUCINA ITALIANA,101 N WACKER DR ,02/20/2015,2
120,MID-CITY CARDS & GIFTS,101 N WACKER DR ,10/16/2012,3
121,EMILS,101 N WACKER DR ,10/16/2012,0
122,WHITE HEN PANTRY #0-88154-4,101 S CLINTON ST ,10/15/2012,0
123,"PERRY FOOD, INC.",101 W 107TH ST ,06/25/2012,0
124,AMIGOS DISCOUNT STORE,101 W 107TH ST ,06/20/2012,0
125,7 ELEVEN #35015H,101 W DIVISION ST ,06/04/2012,5
126,DUNKIN DONUTS,101 W DIVISION ST ,06/04/2012,0
127,DUNKIN DONUTS,101 W DIVISION ST ,08/16/2011,1
128,THE ORIGINAL MITCHELL'S,101 W NORTH AVE ,09/12/2012,0
129,THE ORIGINAL MITCHELL'S,101 W NORTH AVE ,10/18/2011,1
130,SUNRISE FIT CLUB,1010 N ASHLAND AVE ,12/05/2013,3
131,"SODEXO AMERICA, LLC",1010 N NOBLE ST ,04/19/2012,1
132,SAM'S QUICK STOP,1010 S WESTERN AVE ,03/20/2012,2
133,PHO TAU BAY,1010 W ARGYLE ST ,08/27/2012,2
134,CAFE HOANG,1010 W ARGYLE ST ,02/27/2012,0
135,Le Peep Restaurant,1010 W WASHINGTON BLVD ,09/25/2012,0
136,Le Peep Restaurant,1010 W WASHINGTON BLVD ,08/20/2010,2
137,LIEUTENANT BAYLOR,10100 S HALSTED ST ,07/22/2010,4
138,FORNELLO TRATTORIA,1011 W IRVING PARK RD ,01/21/2016,1
139,ST HELENA OF THE CROSS,10115 S PARNELL ST ,09/13/2012,1
140,MUNCHIES ON LARRABEE,1012 N LARRABEE ST ,12/20/2013,0
141,M & D GROCERY STORE,1012 W 31ST ST ,08/09/2013,0
142,RICH MINI MART,1012 W 31ST ST ,08/09/2013,0
143,EXPRESS GROCERY STORE,1012 W 31ST ST ,08/09/2013,0
144,LITTLE LAMB SCHOLASTIC ACADEMY,10126 S WESTERN AVE ,03/28/2012,0
145,LITTLE LAMB  SCHOLASTIC ACADEMY,10126 S WESTERN AVE ,04/05/2011,1
146,CREPERIE DE PARIS,1013 W Webster AVE ,11/02/2016,2
147,HAROLD'S CHICKEN SHACK,1014 S WESTERN AVE ,03/17/2017,0
148,SUBWAY,1014 S WESTERN AVE ,08/01/2014,0
149,LAWRENCE MARKET CO,1014 W LAWRENCE AVE ,11/09/2010,2
150,TAMALESY RESTAURANT COSTA GRANDE,10148 S EWING AVE ,04/07/2015,0
151,TAQUERIA SACRAMENTO,10148 S EWING AVE ,09/13/2013,0
152,TAQUERIA GONZALEZ,10148 S EWING AVE ,07/30/2012,1
153,TAQUERIA SACRAMENTO,10148 S EWING AVE ,07/30/2012,0
154,LOT'S OF LOVE COMMUNITY CENTER,1015 W 79TH ST ,01/26/2011,1
155,DOLLAR & DRAPERY MART,1015 W 87TH ST ,10/18/2011,6
156,MAKOLA AFRICAN SUPERMART,1017 W WILSON AVE ,01/13/2015,0
157,"OMAR'S CONVENIENT STORE, INC.",1019 E 82ND ST ,10/19/2015,2
158,"OMAR'S CONVENIENT STORE, INC.",1019 E 82ND ST ,10/09/2015,0
159,SAM'S SUPERMARKET,1019 E 82ND ST ,10/09/2015,0
160,CAFE NHU HOA,1020 W ARGYLE ST ,02/29/2012,0
161,PHO XUA RESTAURANT INC.,1020 W ARGYLE ST ,06/07/2012,0
162,SUBWAY,1020 W BELMONT AVE ,12/03/2014,0
163,ALBANY PARK COMMUNITY CENTER,1020 W BRYN MAWR AVE ,02/15/2012,4
164,HERITAGE OUTPOST LAWRENCE HOUSE LLC,1020 W LAWRENCE AVE ,10/13/2016,1
165,GALLISTEL LANGUAGE ACADEMY,10200 S AVENUE J ,01/21/2016,1
166,KENTUCKY FRIED CHICKEN,10200 S HALSTED ST ,04/22/2016,1
167,KENTUCKY FRIED CHICKEN 521043,10200 S HALSTED ST ,03/03/2016,0
168,LA JOYA,10203 S COMMERCIAL AVE ,07/02/2010,3
169,WEST TOWN DELI,1021 N Western AVE ,06/19/2015,2
170,West Town Deli,1021 N Western AVE ,02/04/2014,1
171,HEINZE LIQUORS,1021 W MONTROSE AVE ,11/01/2016,0
172,STARBUCKS,10210 S CENTRAL PARK AVE ,10/13/2011,5
173,ANDRZEJ GRILL INC,1022 N WESTERN AVE ,09/23/2010,4
174,DOCTOR'S CARIBBEAN CUISINE.,10226 S HALSTED ST ,10/25/2012,0
175,DOCTOR'S CARIBBEAN CUISINE.,10226 S HALSTED ST ,10/25/2012,0
176,DOCTOR C'S CARIBBEAN CUISINE,10226 S HALSTED ST ,10/25/2012,0
177,VERA,1023 W LAKE ST ,10/28/2016,1
178,RUSHMORE,1023 W LAKE ST ,10/28/2013,1
179,BEIJING GARDEN,1023 W WILSON AVE ,12/07/2012,0
180,BEIJING GARDEN,1023 W WILSON AVE ,12/07/2012,0
181,BEIJING GARDEN,1023 W WILSON AVE ,12/07/2012,0
182,BEIJING GARDEN,1023 W wilson AVE ,06/24/2010,2
183,Tesfa Ethiopian Cusine,1023-1025 W WILSON AVE ,03/18/2016,1
184,LAKE LANGANO ETHIOPIAN-CHINE,1023-1025 W WILSON AVE ,01/25/2012,4
185,MONTESSORI ACDY. INFT/TOD. CNT,10232-10234 S HALSTED ST ,09/04/2013,3
186,RESTAURANT VENENO DE NAYARIT,1024 N ASHLAND AVE ,10/18/2012,0
187,THE BOBA TEAHOUSE,1024 W ARGYLE ST ,04/02/2015,0
188,PUPUSERIA EL EXCELENTE,10244 S EWING AVE ,06/06/2011,2
189,BOB & JACK'S PIZZA INC,10244 S EWING AVE ,03/15/2010,1
190,THAI SUPER CHEF,1025 W LAWRENCE AVE ,09/28/2011,1
191,UPTOWN DOLLAR & GROCERY,1025 W WILSON AVE ,11/19/2014,0
192,SUGAR SHACK PLUS,10255 S ST LAWRENCE AVE ,06/05/2013,2
193,DAVID CASTANEDA,10258 S EWING AVE ,07/29/2015,2
194,FLAMING WINGS & IC CREAM SHOP,10258 S EWING AVE ,06/19/2014,1
195,THE BUTCHER & LARDER,1026 N MILWAUKEE AVE ,12/30/2010,5
196,OLD FIFTH,1027 W MADISON ST ,08/14/2014,2
197,VORA,1028 N CLARK ST ,02/09/2016,1
198,LITTLE WOK,103 E 51ST ST ,02/17/2017,0
199,LITTLE WOK,103 E 51ST ST ,01/18/2012,0
200,CAFE FRESH INC.,1030 N CLARK ST ,05/19/2014,1
201,DAVE & BUSTER'S/MIDWAY BAR,1030 N CLARK ST ,10/01/2013,0
202,DAVE & BUSTER'S/MAIN DINING RM,1030 N CLARK ST ,10/01/2013,0
203,DAVE & BUSTER'S/POOL ROOM,1030 N CLARK ST ,10/01/2013,0
204,DAVE & BUSTER'S/EXEC. BILLIARD,1030 N CLARK ST ,10/01/2013,0
205,DAVE & BUSTER/GOLF SIMULA,1030 N CLARK ST ,10/01/2013,0
206,DAVE & BUSTER/SPC.EVT.RM,1030 N CLARK ST ,10/01/2013,0
207,DAVE & BUSTER/GOLF SIMULA,1030 N CLARK ST ,11/09/2012,1
208,DAVE & BUSTER'S/BOWLING ALLEY,1030 N CLARK ST ,08/19/2010,2
209,CONNIE'S PIZZA,1030 N STATE ST ,06/25/2014,3
210,TRADER VIC'S,1030 N STATE ST ,08/16/2013,0
211,THE GROTTO,1030 N STATE ST ,08/08/2013,0
212,RESTAURANT DEPOT,1030 W DIVISION ST ,06/30/2010,1
213,FLIRTY CUPCAKES,1030 W TAYLOR ST ,06/06/2017,0
214,FLIRTY CUPCAKES,1030 W TAYLOR ST ,01/15/2016,1
215,M N S Gas,10301 S KEDZIE AVE ,01/08/2013,0
216,ALI KHAN MARATHON,10301 S KEDZIE AVE ,01/08/2013,0
217,"TWO CITY GAS, INC.",10301 S KEDZIE AVE ,01/08/2013,0
218,TASNEEM INC,10301 S KEDZIE AVE ,01/08/2013,0
219,QUALITY GAS,10301 S KEDZIE AVE ,01/08/2013,0
220,MOTI MAHAL RESTAURANT,1031-1035 W BELMONT AVE ,12/04/2014,3
221,"FAT'S DAWG & BURGER, INC.",10318 S HALSTED ST ,07/24/2012,1
222,SUBWAY,10319 S PULASKI RD ,08/31/2010,3
223,A'NH - LINH RESTAURANT,1032 W ARGYLE ST ,12/07/2012,0
224,A' NH- LINH RESTUARANT,1032 W ARGYLE ST ,10/11/2011,1
225,BABA PITA,1032 W LAKE ST ,07/06/2015,1
226,BABA PITA,1032 W LAKE ST ,08/06/2014,1
227,MCDONALDS #490,10320 S KEDZIE AVE ,03/09/2012,0
228,SOUTH EAST PRODUCE & MEATS,10325 S TORRENCE AVE ,01/15/2015,0
229,INDIE BURGER,1034 W BELMONT AVE ,01/28/2013,1
230,SWEET TAMARIND THAI CUISINE,1034 W BELMONT AVE ,09/20/2013,0
231,"ABIQUIU CAFE, INC",1034 W BELMONT AVE ,12/19/2012,1
232,"ABIQUIU CAFE,INC",1034 W BELMONT AVE ,05/16/2011,1
233,"VENUE ONE, LLC",1034 W RANDOLPH ST ,09/17/2013,4
234,CHOICE CHINA WOK,10341 S HALSTED ST ,06/26/2014,3
235,CHOICE CHINA WOK,10341 S HALSTED ST ,05/02/2014,0
236,"CHOICE CHINA WOK, INC.",10341 S HALSTED ST ,08/24/2012,1
237,MURDOCK'S MEMORABLE MEALS,10343 S HALSTED ST ,12/18/2013,2
238,HOOK FISH & CHICKEN,10343 S HALSTED ST ,10/03/2012,0
239,HONG SIK IN,10350 S TORRENCE AVE ,03/06/2014,3
240,HIENIE'S,10359 S TORRENCE AVE ,03/03/2016,2
241,GOLDEN FOODS SPINACH PIE INC,1036 N KILBOURN AVE ,02/09/2015,0
242,ZANZIBAR CAFE AND ICE CREAM SHOPPE,1036 W BRYN MAWR AVE ,01/16/2015,1
243,ZANZABAR,1036 W BRYN MAWR AVE ,04/24/2012,3
244,EXPRESS PANTRY INC,1036 W BRYN MAWR AVE ,04/24/2012,0
245,GIORDANO'S ON BELMONT,1036-1040 W BELMONT AVE ,12/17/2015,1
246,Beyond The Ivy,1038 W WAVELAND AVE ,06/27/2011,5
247,THE LORALI,1039 W LAWRENCE AVE ,02/04/2014,3
248,GRANDMA CHEESE CAKE'S CATERING,10400 S HALSTED ST ,04/18/2013,4
249,CHICAGO AL'S,10401 S MUSKEGON AVE ,06/13/2013,0
250,Maiz,1041 N CALIFORNIA AVE ,05/25/2012,1
251,Kohn,10414 S State ,09/28/2012,1
252,EL PUESTECITO,10429 1/2 S EWING AVE ,07/22/2014,1
253,EL ENCANTO RESTAURANT,10429 1/2 S EWING AVE ,06/20/2012,2
254,PUPUSERIA EL EXCELENTE,10429 1/2 S EWING AVE ,06/07/2012,0
255,3 ABEJAS,10429 S EWING AVE ,05/18/2015,1
256,PIEROGI STREET,1043 N CALIFORNIA AVE ,06/10/2017,0
257,POLAK EATERY,1043 N CALIFORNIA AVE ,09/10/2014,1
258,Monogramme Events & Catering LLC,1043 N CALIFORNIA AVE ,09/08/2014,0
259,TIPSYCAKE,1043 N CALIFORNIA AVE ,12/06/2013,0
260,MAICHEF CUISINE INC.,1043 N CALIFORNIA AVE ,03/20/2012,1
261,CARMINE'S CLAM HOUSE INC,1043 N RUSH ST ,07/02/2013,2
262,SUBWAY AT NORWEGIAN AMERICAN HOSPITAL,1044 N FRANCISCO AVE ,07/31/2013,4
263,SCHLENKO INC.,1044 W WAVELAND AVE ,06/16/2011,5
264,REAL COMFORT AMERICAN KITCHEN,1045 W MADISON ST ,08/21/2014,2
265,The Westminster Hot Dog,1045 W MADISON ST ,09/19/2013,0
266,Jerry's Sandwiches,1045 W MADISON ST ,03/20/2012,0
267,CHINESE LANTERN,1046 W ARGYLE ST ,04/25/2012,1
268,CAFE CIAT,1046-1/2 W ARGYLE ST ,05/18/2016,1
269,CHINESE LANTERN BISTRO,1046-1/2 W ARGYLE ST ,02/23/2015,1
270,BEYOND THE IVY INC,1048 W WAVELAND AVE ,04/07/2016,0
271,WRIGLEY,1048 W WAVELAND AVE ,06/16/2011,5
272,S & S LEARNING CENTER INCORPORATED,1049 E 73RD ST ,08/08/2013,2
273,PREMIER SCHOLASTIC PRESCHOOLS,1049 E 73RD ST ,08/08/2013,0
274,PREMIER SCHOLASTIC PRESCHOOLS,1049 E 73RD ST ,08/08/2013,0
275,"103 CHICKEN & MORE, INC.",1049 W 103RD ST ,11/04/2015,2
276,Z & Z WINGS,1049 W 103RD ST ,09/10/2012,3
277,AYA SEASHELL,1049 W 103RD ST ,09/10/2012,0
278,SEASHELL FISH & CHICKEN,1049 W 103RD ST ,09/10/2012,0
279,SEASHELL FISH AND CHICKEN,1049 W 103RD ST ,12/12/2011,1
280,THE ABUNDANCE BAKERY,105 E 47TH ST ,04/20/2012,4
281,JAFFA BAKERY,105 W MADISON ST ,07/23/2013,0
282,BANH MI EXPRESS SANDWISH,105 W MADISON ST ,08/21/2013,0
283,JAFFA BAKERY,105 W MADISON ST ,09/19/2013,0
284,JAFFA BAKERY,105 W MADISON ST ,04/10/2012,0
285,Roma Pizza&Pasta,105 W MADISON ST ,06/07/2011,0
286,Waveland Baseball Club,1050 W WAVELAND AVE ,07/27/2011,0
287,"ROOFTOP BY THE FIREHOUSE, INC.",1050 W WAVELAND AVE ,11/09/2010,1
288,EL RANCHO,10500 S EWING AVE ,08/16/2012,2
289,LITTLE ANGELS ACADEMY & KINDERGARTEN,10501 S TORRENCE AVE ,06/19/2014,2
290,SAND BAKE,1051 W GRANVILLE AVE ,08/23/2013,2
291,THE AOK FLAT BREAD PANINI SHOP,1051 W GRANVILLE AVE ,06/03/2011,1
292,Carnicerias Guanajuato,1051-1053 N ASHLAND AVE ,01/22/2014,1
293,CARNICERIA & FRUTERIA LAURA,1051-1053 N ASHLAND AVE ,10/17/2012,0
294,CARNICERIA GUANAJUATO #2,1051-1053 N ASHLAND AVE ,09/07/2012,0
295,CARMICHAEL'S CHICAGO STEAK HSE,1052 W MONROE ST ,10/23/2013,2
296,CITGO,1053 W 103RD ST ,06/21/2013,1
297,JEANNY'S CHINESE RESTAURANT,1053 W BELMONT AVE ,10/11/2013,0
298,JIN CAFE,1053 W BELMONT AVE ,10/01/2013,0
299,NEW  JEANNY'S RESTAURANT INC,1053 W BELMONT AVE ,02/03/2012,0
300,"EL SELECTO PRODUCTS, L.L.C.",10532 S TORRENCE AVE ,03/16/2011,5
301,TAQUERIA  EL TACONCITO,10536 S TORRENCE AVE ,07/25/2012,2
302,EL TACONCITO,10536 S TORRENCE AVE ,04/26/2010,2
303,NEW LIONS DEN RESTAURANT,10543 S EWING AVE ,11/01/2012,2
304,7-ELEVEN #33732,1055 W BRYN MAWR AVE ,10/17/2012,0
305,BEEF SHACK,1056 W BELMONT AVE ,09/08/2016,1
306,CORNERSTORE ENTERPRISE,1056 W BELMONT AVE ,02/21/2013,0
307,CHE CAFE,1058 W TAYLOR ST ,01/19/2012,0
308,UKAI SUSHI,1059 W BELMONT AVE ,07/19/2010,2
309,TAYLOR FOOD MART,1059 W TAYLOR ST ,09/29/2016,1
310,CUBBY BEAR LOUNGE LTD,1059-1065 W ADDISON ST ,03/30/2011,2
311,Kids Count Too Daycare,106 W 119TH ST ,07/21/2011,0
312,OPTIONS LABORATORY SCHOOL,1060 E 47TH ST ,09/01/2011,4
313,LEVY RESTAURANTS AT WRIGLEY FIELD,1060 W ADDISON ST ,04/29/2016,1
314,CAPTAIN MORGAN'S,1060 W ADDISON ST ,05/14/2015,1
315,FAMILY PRIDE,10601 S PULASKI RD ,06/04/2012,3
316,GUSI'S PIZZA,10606 S TORRENCE AVE ,06/07/2012,1
317,BLUE PLATE CATERING LTD.,1061 W VAN BUREN ST ,09/30/2015,1
318,HOT WOK CHINESE KITCHEN,10611 S EWING AVE ,07/18/2017,1
319,HOT WOK,10611 S EWING AVE ,05/13/2014,1
320,TATSU,1062 W TAYLOR ST ,02/13/2015,2
321,TATSU,1062 W TAYLOR ST ,03/03/2011,4
322,1ST FRUITS ACADEMY INC,10622-10624 S HALSTED ST ,04/15/2014,0
323,1ST FRUITS ACADEMY INC,10622-10624 S HALSTED ST ,01/20/2011,2
324,WHIZ KIDS NURSERY CENTER INC,10623-10627 S HALSTED ST ,07/21/2011,4
325,BUSY BUMBLE BEE DAYCARE,10623-10627 S HALSTED ST ,08/20/2010,1
