,block#,#business_with_liquor,#crimes,#arrests
1,27,1,0,0
2,1,3,0,0
3,110,42,0,0
4,111,11,0,0
5,112,7,0,0
6,113,11,0,0
7,114,1,0,0
8,117,22,0,0
9,118,3,0,0
10,12,6,0,0
11,120,21,0,0
12,121,11,0,0
13,122,10,0,0
14,123,6,0,0
15,124,12,0,0
16,125,2,0,0
17,126,3,0,0
18,127,1,0,0
19,129,5,0,0
20,13,16,0,0
21,130,25,0,0
22,131,1,0,0
23,132,19,0,0
24,133,1,0,0
25,135,6,0,0
26,136,14,0,0
27,138,2,0,0
28,139,2,0,0
29,14,1,0,0
30,140,3,0,0
31,141,5,0,0
32,143,1,0,0
33,144,2,0,0
34,145,1,0,0
35,146,6,0,0
36,147,4,0,0
37,148,4,0,0
38,149,20,0,0
39,15,33,0,0
40,152,2,0,0
41,153,1,0,0
42,156,2,0,0
43,16,10,0,0
44,161,1,0,0
45,17,5,0,0
46,18,45,0,0
47,19,2,0,0
48,10,1,0,0
49,101,3,0,0
50,1010,2,0,0
51,1015,5,0,0
52,1016,7,0,0
53,1017,6,0,0
54,1018,6,0,0
55,1019,1,0,0
56,1021,3,0,0
57,1023,1,0,0
58,1025,7,0,0
59,1026,5,0,0
60,103,2,0,0
61,1030,9,0,0
62,1031,3,0,0
63,1032,4,0,0
64,1033,5,0,0
65,1034,2,0,0
66,1035,6,0,0
67,1036,1,0,0
68,1037,4,0,0
69,1038,1,0,0
70,1039,2,0,0
71,1040,7,0,0
72,1043,1,0,0
73,1044,4,0,0
74,1045,6,0,0
75,1046,9,0,0
76,1048,1,0,0
77,105,5,0,0
78,107,1,0,0
79,109,1,0,0
80,111,4,0,0
81,1112,6,0,0
82,1113,1,0,0
83,1114,5,0,0
84,1115,2,0,0
85,1116,7,0,0
86,1118,4,0,0
87,1119,3,0,0
88,1120,2,0,0
89,1123,2,0,0
90,1124,1,0,0
91,1125,7,0,0
92,1127,2,0,0
93,1128,3,0,0
94,1129,4,0,0
95,113,19,0,0
96,1130,1,0,0
97,1131,7,0,0
98,1132,3,0,0
99,1133,2,0,0
100,1135,1,0,0
101,1136,4,0,0
102,1137,2,0,0
103,1138,1,0,0
104,1139,1,0,0
105,114,2,0,0
106,1140,1,0,0
107,1141,4,0,0
108,1142,3,0,0
109,1143,2,0,0
110,1144,4,0,0
111,1145,5,0,0
112,1147,1,0,0
113,1148,2,0,0
114,1149,2,0,0
115,115,3,0,0
116,1150,1,0,0
117,116,2,0,0
118,117,4,0,0
119,118,3,0,0
120,119,2,0,0
121,121,5,0,0
122,1210,2,0,0
123,1211,2,0,0
124,1212,2,0,0
125,1213,6,0,0
126,1214,3,0,0
127,1215,9,0,0
128,1216,4,0,0
129,1217,10,0,0
130,1218,3,0,0
131,122,2,0,0
132,1222,7,0,0
133,1223,2,0,0
134,1224,2,0,0
135,1226,8,0,0
136,1228,3,0,0
137,1229,4,0,0
138,1238,2,0,0
139,125,1,0,0
140,1257,5,0,0
141,126,10,0,0
142,127,8,0,0
143,128,10,0,0
