,Name,reviewContent,rating,SentimentLabel
0,"J. Randolph's Bar & Grill
","Aside from the location, this place has almost nothing going for it. We popped in for some quick pub food. I wasn't expecting much but how bad could a cheeseburger be? Ugh. The food was just bad. They must use the cheapest ingredients they can find. A simple cheeseburger was dry and stale tasting. Even the colas were oddly flat and syrupy. I would never go here again, even just for a quick bite. I can't attest to the drinking atmosphere but the food? HORRIBLE.",1,Negative
1,Johnny Rockets,"I saw Johnny Rockets featured on Undercover Boss last year and it inspired me to give the restaurant I have been passing ever since they opened this location a try. This must be some knock off because I didn't get the nostalgic Americana diner experience I had hoped for and was promised to me not only by the executive featured on the show but by a sign on the wall. This is more like an express Johnny Rockets. No full service, no fun friendly or singing staff. I mean, where was the juke box, the lunch counter, the black and white pics of teens at a sock hop? OK, so the atmosphere sucked. The food was just OK. I really don't like mayo AND mustard on my burger - it causes all the other stuff to slip around and it's just not the mess I need the street traffic on Lake and State to see as I eat ",2,Positive
2,Johnny Rockets,"My first experience involved me walking in and immediately walking right back out... But I came to find out they actually have a veggie burger after writing Johnny Rocket's. Veggie burger is fantastic, and so are the fries! Best of all - it's vegan! If you're not into mustard make sure to tell them to make it without cause they slather it on!",3,Positive
3,Johnny Rockets,"The last time I went to a Johnny Rocket was when there was one at the Rush and Division area, I'd get an awesome ham and cheese, fries and a chocolate malt- When the one opened on State was anxious to give it a try- The place is split b/t Halsted St. Deli and Johnny Rockets, I don't think they have everything on the menu like the old one did- I ordered a single cheeseburger and a chocolate malt-Let's just say I wasted $10 today-The cheeseburger was gross, I think McDonald's is better than this-It didn't have any taste, I mean nothing at all-The cheese was so gross, and the chocolate malt...well I couldn't taste the malt and where was the chocolate taste? So I will never go here again and will tell people to go to Portillo's for a nice thin and cheesy burger-",1,Negative
4,Johnny Rockets,"Oye vay. Where to start? High prices, small portions, and the sassy staff were all very disappointing. Yes, your burgers are fresh and tasty, but just not enough to make up for a less than mediocre restaurant. Sorry Johnny.",2,Negative
5,Johnny Rockets,"good location & great burgers: We stopped here for lunch and really enjoyed it here. My girl enjoyed her sandwich and it came hot & fresh. I ordered the St.Louis burger and it was out of this world. If you want a good burger that's the one to order,real good think sliced bacon plus cheese. We got the cheese fries too and they were great. This a little diner and we enjoyed it a lot.You can also eat your lunch and do some people watching off the streets.It was priced a little higher than other burger joints but it is something worthwhile to visit.",4,Positive
6,Johnny Rockets,"Note to self:  here is the URL to submit a complaint to the City of Chicago Dept of Public Health. http://www.cityofchicago… Oh boy.  Haven't had to give a 1 star rating in a while, but this one deserves it.  Keep in mind this location is nothing like what I remember from the real Johnny Rockets in other states.  What I mean is the interior is barely keeping up with the red and white color scheme, the tables and chairs seem random, the floors were sticky and not clean, there was no jukebox playing tunes from the 50s and 60s, and the entire ordering system is backwards from the real Johnny Rockets (table service, sitting at the bar counter to watch the kitchen and shakes being made, etc).  Not here.  But why? The location is amazing, right next to the big theatre sign that says CHICAGO on t",1,Negative
7,Johnny Rockets,"One word....AWFUL!!!!!! I even love burgers from 'greasy spoons', this burger didn't even come close to that. Do not bother.",1,Positive
8,Johnny Rockets,"If you're in the loop and need a quick and inexpensive burger fix, this will do.",3,Negative
9,Johnny Rockets,"I was super excited to see a Johnny Rockets in the loop, but disappointed to see that it was a limited menu.  The shakes and rings are still good and the chicken fingers are finger lickin good (pun intended).  The location is teeny tiny, so it can get crowded during peek lunch time hours, but they manage to get you in and out pretty quickly (sadly, we still have no In n Out in Chicago).",3,Negative
10,Johnny Rockets,Had a double cheeseburger. Really big portions but overall bland. It didn't really taste like much.,2,Negative
11,Johnny Rockets,"This place just opened up....whats going on with the food? What is wrong with Chicago....we aren't a little no name town that can't dish out good eats  (small towns probably have better food) !     I had the chili-cheese fries. I hadn't had this in over 10 years. I guess 10 years ago they tasted better than they do now! The fries were dry, the chili was canned, the cheese like butter. Overall the dish didn't please my eyes or my stomach. I stopped eating after a couple of fries. I could already see the outcome of finishing that muck. I gave this place 3 stars because they had a really nice grand opening, with a song + dance. I also had their strawberry shake, it was pretty damn good...cheaper than Potbelly's, so I'm sold! I'm willing to go back and try their chicken strips.....",3,Negative
12,Johnny Rockets,"It had been a very long day and our first night in Chicago. It's past 10PM and finding places on my list this late was no longer a priority for us. Just finished listening to the great Ramsey Lewis celebrate his 75TH birthday at the Millennium Park's Jay Pritzker Pavilion. Plus we were under dressed for the windy cold evening. On the way back to the Hotel Burnham we walk pass Johnny Rockets filled with customers. It looked clean and safe. Hey, at this time of night one has to make priorities. Either get something quick to eat or don't eat at all. Didn't realize that Johnny Rockets carried an Italian beef sandwich. So, we ordered the sandwich, American fries and their Smoke House Single to go. Got our order pretty quickly and dashed to our hotel room just a couple of blocks away. Turned on ",4,Positive
13,Johnny Rockets,"I love opening day of a new restaurant (or chain). You get a warm welcome at the door; the staff is excited; its picture perfect. Overall, things seem to be running smoothly so far. It's really hard to judge a book by its cover at this stage in the game though. Maybe I need to stop in a month from now at 12:00pm to see some chaos. The food is ok. The burger was good, and done quickly. The fries, however, I can't really say that I'm a fan of. I hate flimsy fries. What I don't understand is why this place shares a space with Halsted Street Deli. That is super weird and I can only imagine that when its busy, its going to be nightmare for people getting their drinks at the soda fountain. But maybe their timeliness with filling orders will keep that from happening. We shall see.",4,Positive
14,Johnny Rockets,"Lunch break.  hmmmm... I think I'll go for a burger.  I got a bun with what seemed like some kind of meat substance that must have been cooked 7 hours previous.  Seriously, the bun overlapped the burger by about an inch on all sides!  Secret sauce?  It tasted like a watered-down ketchup-mayo and cucumber mix?  Wha?  And every other fry was under cooked.  How does that even happen?",1,Negative
15,Jaffa Bakery,"Lots of food, good price, but my chicken fajita and rice was a bit greasy for my taste.",3,Negative
16,Jaffa Bakery,"Besides being in a dungeon, I really can't complain about this place.  The falafel sandwich is good, not great.  The chicken sandwich was also good.  The service is sweet, although confused on how to use a KGBdeal.  I wouldn't really come here that often because I like windows, but it's not bad if you want decent, cheap food.  I wanted some baklava but you know, the calories from the falafel fit my quota for the meal.  Anyway, I am sure it was delicious.",3,Positive
17,Jaffa Bakery,"There are turkey sandwiches and then there are Jaffa sandwiches. Once you have a turkey sandwich from Jaffa, deli sliced colds cuts sandwiches will seem like....well deli sliced cold cuts sandwiches. Its like the rest of man's great inventions Tivo, Ipods, cell phones, crack cocaine....once you try it, there's going back to life before you knew it. Real turkey, freshly baked and piping hot. It sits in its own juices, so its always moist and flavorful (I'm tempted to order one of their turkey's next thanksgiving, yes they are that good...).  A plethora (yes, plethora) of toppings to top things off as well: mashed potatoes, cranberry sauce, tabouli, hummus, baba ganoush along with the usual sandwich accompaniments. I dare you to find that combo anywhere else.   Get the sandwich bun 'dipped' ",5,Negative
18,Jaffa Bakery,"The hunt for stellar hummus continues with my experience at Jaffa Bakery today. With three middle eastern food restaurants in a two block radius, the competition is definitely stiff in the south loop.   Though Jaffa may not be my favorite choice, the one thing I've always liked about this place is also unique to their shop - the falafel plate mix. This is the menu option if you like it all - babaganoush, falafel, grape leaves, tahini sauce, garden salad,  tabouleh, and of course, pita bread, all on one plate, all for $6.75. The nice thing is, if you like everything but one or two of the options, you have the option of cutting that out and substituting a bit more of something you do like. I've been here a few times now, and at first I was impressed with the serving size, the quality of the ",2,Negative
19,Jaffa Bakery,"Is that a 'gobble gobble' I hear in the back?   Probably not, but the turkey here at Jaffa seems to be so fresh and tender, the turkey might as well have just been enjoying life a few minutes ago.  Well, turkey, my tummy thanks you for your generosity at letting Jaffa take you and make me a delicious lunch! Prices here are inexpensive (around $6 for a turkey entree).  The food is healthy enough to make me feel good about what I'm eating and fatty enough to taste yummy!",4,Positive
20,Jaffa Bakery,"Nothing wrong here, just not what I was expecting I guess. To be clear - I have only visited for lunch. Perhaps I shall bagel soon. A bunch of guys from the office came to a lunch meeting with what appeared to be delicious Mediterranean food, and claimed to have gotten from THE VERY BUILDING our office is in. Score - maybe no more walking to Haifa? Well, it's not as Mediterranean (at least at lunch) as I thought. Their specialty seems to be turkey, which was good, as far as turkey goes. Several gents in the office are hooked on it - multiple visits a week. They have a good collection of sides too, mashed potatoes, corn, etc. Even cranberry sauce. So, I had the turkey platter - which was good, not out of the ordinary. It was a ton of food for not much money though - there's definite value h",3,Positive
21,Jaffa Bakery,"When you walk in your nose is bombarded with 3 different things. Dunkin Donuts coffee, Bacci's Pizza, and the tantalizing whiff of fresh made bagels. All of these things are cloistered in a small basement like space but luckily you can follow your nose to Jaffa. I've gone here a couple of times and the first thing I can say is that the people working are really nice. They listen to what you are saying and tailor your bagel or food to how you like it which is nice. They even let me pay in change (hey I'm poor what do you want). I've had the Mediterranean food and the bagels and my favorite is the warm soft bagels. Toasted they are crisp on the outside and soft on the inside and with a good helping of cream cheese and veggies (I like tomato and onion mmm) it's one of the better places to gra",4,Positive
22,Jaffa Bakery,"Oh my, my, my. I am a fan of the turkey kabobs and mashed potatoes w/ the turkey gravy. My coworker is a fan of the falafel on pita. We visit this place at least every other week in the Illinois/Fox building. I did not think turkey could be so flavorful and juicy until I found this place.",4,Negative
23,Jaffa Bakery,Great turkey sammichez and chicken kabobs for a great price. You can't beat it!,4,Positive
24,Jaffa Bakery,"Turkey sandwich was excellent.  Wish they had stuffing to go on top so i could have had it with cranberry sauce.  They didnt, so i went with mustard/mayo/lettuce/tomato/cheese.  It was excellent, but it would have been more so with cranberry and stuffing.",3,Negative
25,Jaffa Bakery,"I come here a few times a week because it's such a close walk from my office and they are pretty quick. $2 for bagel and cream cheese. They have tons of bagels and cream cheeses to choose from, my favorite is a toasted onion or garlic bagel with chive cream cheese. I just went here to get lunch the other day for the first time and got a half dark half white meat turkey sandwich on a french roll with 'the works'. It's real turkey too, that giant carcass just lies in front of ya waiting for you to devour it. They also have tons of juices and smoothies, but I find that it takes long compared to how fast they get food out. $4+ to use plastic. There is some seating, but it seems cramped in there, but I usually just bring it back to my office - and make sure my co workers catch a whiff of that t",4,Negative
26,Jaffa Bakery,"It's a little misleading to say I'm a fan, but I do default to eating lunch here quite a bit given that I work in this building. Their bagels aren't bad but I actually quite like their fruit cup, which is quite fresh and reasonably priced too. They have freshly-squeezed OJ, which I crave sometimes. But I recommend against their smoothies. The staff here is a little, umm, odd.. Quick Tip: They do not accept AmEx and Visa/MC is only accepted above $4.",4,Positive
