business_name,address,inspection_date,years_alive
"V & J DAY CARE CENTER, INC",1 E 113TH ST ,09/22/2015,2
GOODWIN'S RESTAURANT,1 N FRANKLIN ST ,11/17/2014,3
GATEWAY NEWSTANDS,1 N FRANKLIN ST ,10/03/2014,0
ALONTI CAFE,1 N FRANKLIN ST ,01/03/2013,1
JAY LOBBY SHOP,1 N FRANKLIN ST ,04/26/2012,1
DOMINICK'S #1875,1 N HALSTED ST ,04/01/2014,0
AFC SUSHI @ DOMINICK'S # 1875,1 N HALSTED ST ,04/01/2014,0
THE LOBBY SHOP,1 N LA SALLE ST ,11/05/2012,0
SALVATION ARMY TEMPLE HEAD START,1 N OGDEN AVE ,10/04/2011,2
"SODEXHO AMERICA, LLC",1 N STATE ST FL ,01/31/2012,1
MUNCHIES,1 N WACKER DR ,08/14/2014,1
LA QUINTA INN & SUITES,1 S FRANKLIN ST ,08/29/2016,1
MID-CITY CARDS & GIFTS,1 S WACKER DR ,08/08/2013,3
TASTE AMERICA CATERING,1 S WACKER DR ,06/28/2010,3
YOGURTLAND,1 W DIVISION ST ,03/18/2016,1
Renaissance Cafe,1 W WACKER DR ,09/28/2015,0
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST ,07/07/2016,0
HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,08/18/2011,0
HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,11/29/2010,1
TRUE FOOD KITCHEN,1-9 W ERIE ST ,10/04/2017,1
CITGO GAS STATION,10 N KILBOURN AVE ,10/24/2012,5
ONE STOP FOOD & TOBACCO INCORP,10 S CICERO AVE ,09/09/2011,1
PROTEIN BAR,10 S CLINTON ST ,05/08/2012,4
"GODIVA CHOCOLATIER, INC",10 S LA SALLE ST ,10/03/2014,1
CARIBOU COFFEE CO.INC.,10 S LA SALLE ST ,10/03/2014,0
RIVERSIDE LOBBY SHOP,10 S RIVERSIDE PLZ ,01/23/2014,1
CROWNE PLAZA CHICAGO - THE SILVERSMITH HOTEL,10-16 S WABASH AVE ,08/18/2010,1
LITTLE MARKET BRASSIERE,10-20 E DELAWARE ST ,05/05/2015,1
